k;Avg Maxflow;Aug paths;Time
11;1490;409;240.446
11;1511;455;275.997
11;2232;613;379.491
11;1108;262;161.948
11;2533;694;424.114
11;944;288;178.172
11;3500;1011;608.839
11;847;242;141.479
11;610;181;118.67
11;1781;516;300.793
11;2336;581;336.236
11;2012;602;355.616
11;1658;449;271.255
11;2950;765;447.406
11;1349;407;271.242
11;1761;508;336.608
11;4708;1405;951.191
11;3499;949;612.895
11;2219;615;394.86
11;1532;545;341.749
11;1508;590;441.867
11;3273;907;673.822
11;2563;795;630.153
11;1048;315;188.465
11;1152;394;275.263
11;2288;680;502.281
11;3377;860;611.194
11;1764;589;338.098
11;2751;846;498.125
11;3372;915;535.777
11;2516;691;399.922
11;3536;1120;671.221
11;1832;542;320.022
11;4120;1077;625.34
11;2210;573;334.096
11;977;324;191.504
11;3284;804;479.492
11;1173;354;205.875
11;2669;802;472.225
11;1612;445;268.59
11;2820;670;382.835
11;1889;495;295.938
11;2767;764;442.663
12;3836;798;1027.14
12;3291;788;1004.39
12;5306;1015;1283.95
12;9717;1966;2753.9
12;2961;711;2110.39
12;3556;782;2261.62
12;2802;708;1450.69
12;12053;2329;4112.32
12;1366;385;718.806
12;2760;649;1197.79
12;2131;636;1068.68
12;6571;1527;2935.48
12;2382;581;978.391
12;6468;1665;2400.73
12;6917;1529;2017.93
12;3327;797;1032.22
12;3907;834;1076.6
12;2309;562;795.46
12;5478;1132;1483.51
12;3399;868;1124.98
12;9029;2181;2842.43
12;6092;1331;1696.82
12;4520;880;1395.32
12;4041;910;1288.79
12;8424;1931;2672.76
12;6246;1303;2097.61
12;8504;1802;2875.54
12;3809;825;1137.1
12;5368;1187;1616.72
12;1477;368;505.289
12;3478;837;1155.29
12;5437;1256;1714.49
12;1570;337;467.415
12;4544;1099;1513.84
12;2261;527;773.8
12;1007;307;454.314
12;4832;1203;1564.63
12;5523;1299;1692.27
12;7107;1570;2015.16
12;909;253;347.603
12;937;246;327.825
12;3745;902;1166.68
12;2958;722;927.786
12;3953;859;1102.97
12;11211;2388;3108.91
12;1476;392;512.891
12;2291;457;594.074
12;4284;1196;1619.3
12;5916;1282;1644.58
12;3172;692;906.037
12;3050;679;881.708
12;6153;1618;2145.44
12;5757;1349;1758.6
12;6436;1345;1757.51
12;2097;537;696.51
12;6927;1719;2229.65
12;768;215;292.972
12;2726;716;929.107
12;2538;647;859.97
12;2966;599;779.702
12;5520;1290;1659.35
12;6040;1336;1726.16
12;5846;1253;1611.58
12;2442;607;799.004
12;5913;1254;1609.57
12;2665;704;928.996
12;942;275;371.296
12;1814;426;562.062
12;3155;802;1044.92
12;835;181;248.729
12;2874;658;865.302
12;3230;917;1237.92
12;7242;1432;1850.01
12;5500;1267;1660.07
12;4439;1000;1391.54
12;2764;682;1079.26
12;5160;1112;1767.52
12;2861;717;1356.8
12;5165;1164;2131.56
12;2620;640;1119.57
12;3338;760;1072.07
12;4487;1019;1391.3
12;2646;643;890.487
12;5483;1217;1614.09
12;3926;944;1268.71
12;2940;848;1199.04
12;5706;1404;1892.24
12;2544;565;779.884
12;5798;1241;1698.09
12;3078;734;7713.63
12;5036;1191;7273.64
12;5965;1367;2014.88
12;6603;1484;2311.11
12;4906;1170;1612.63
12;2286;549;747.248
12;7505;1599;2066.86
12;6145;1368;1793.06
12;6432;1549;2038.89
12;7587;1728;2256.6
12;1890;431;601.414
13;14951;2668;9983.96
13;13021;2195;8047.44
13;11746;2118;7036.91
13;7381;1455;4730.1
13;6578;1308;4336.88
13;3181;734;2449.43
13;13530;2446;8162.92
13;13290;2358;7720.19
13;10582;2005;11168.8
13;5802;1325;6191.75
13;5835;1226;5253.68
13;10554;2029;11767.4
13;13426;2676;11995.9
13;4263;859;2990.55
13;4876;903;2978.02
13;11216;2171;7411.82
13;10334;2153;7282.18
13;3320;731;2376.56
13;10043;1868;6113.08
13;10761;2083;6922.3
13;1941;407;1321.83
13;3845;878;2853.08
13;11289;2112;6774.9
13;4927;976;3332.5
13;8156;1467;4708.75
13;10050;2509;8407.86
13;9669;1848;6256.79
13;9191;1701;5521.54
13;4340;951;3107.13
13;10336;2679;12613.8
13;8154;1664;7259.05
13;14118;2595;9367.87
13;12872;2495;8363.38
13;11660;2075;6691.83
13;5498;1101;3678.78
13;12445;2402;7949.77
13;11124;2052;6616.35
13;20477;3704;12012
13;611;170;575.98
13;7246;1520;5332.79
13;4862;1022;3531.97
13;11941;2098;6898.17
